FBgn	Symbol	FullName	Symbol_synonym(s)
FBgn0000024	Ace	Acetylcholine esterase	ACE|AChE|AcChE|AchE|CG17907|CHE|DmAChE|Dm_ace|ace|ace-2|ache|dAChE|dmAChE|l(3)26|l(3)87Ed
FBgn0000025	acj1	abnormal chemosensory jump 1	
FBgn0000026	acj2	abnormal chemosensory jump 2	
FBgn0000027	acj3	abnormal chemosensory jump 3	
FBgn0000028	acj6	abnormal chemosensory jump 6	ACJ6|Acj6|CG9151|I-POU|Ipou|tI-POU
FBgn0000029	AcpB	Accessory gland protein B	
FBgn0000030	AcpC	Accessory gland protein C	
FBgn0000031	AcpGI	Accessory gland protein G-I	Acp-g1|AcpG
FBgn0000032	Acph-1	Acid phosphatase 1	ACP|ACPH|APH|Acph|CG7899
FBgn0000033	AcpJ	Accessory gland protein I	AcpI
FBgn0000034	AcpK	Accessory gland protein K	
FBgn0000036	nAChRα1	nicotinic Acetylcholine Receptor α1	AChR|AChRalpha1|AChRα1|ALS|ALs|Acr96A|Acr96Aa|AcrB|CG5610|CG5610-PA|Dalpha1|Dα1|Dalpha1 nAChR|Dα1 nAChR|EMS1|NAcRa96Aa|alpha-like|α-like|alpha1|α1|als|dALS|nAChR|nAChR-alpha96Aa|nAChR-α96Aa|nAChRa1|nAChRalpha-96Aa|nAChRα-96Aa|nAChRalpha1|nAcRalpha-96Aa|nAcRalpha-96Aa|nAcRα-96Aa|nAcRs|nAcr96Aa
FBgn0000037	mAChR-A	muscarinic Acetylcholine Receptor, A-type	Acr60C|AcrC|CG4356|DM1|Dm-mAChR-A|Dm1|mAChR|mAChR A|mAChR-1|mAChR-A1|mAcR|mAcR-60C|mAcR60C|mAchR
FBgn0000038	nAChRβ1	nicotinic Acetylcholine Receptor β1	AChR|AChR64B|ARD|AchR64B|Acr64B|AcrD|Ard|CG11348|CG11348-PA|CG12606|Dbeta1|Dβ1|ard|beta 64B|β 64B|beta1 nAChR|β1 nAChR|nAChR|nAChR-beta64B|nAChR-β64B|nAChR_beta1|nAChR_β1|nAChRbeta1|nAcR64B|nAcRbeta-64B|nAcRbeta-64B|nAcRβ-64B
FBgn0000039	nAChRα2	nicotinic Acetylcholine Receptor α2	Acr96Ab|AcrE|CG6844|CG6844-PA|D[a2]|D[a2]|Da2|Dalpha|Dα|Dalpha2|Dα2|Dalpha2/SAD|Dα2/SAD|Dmalpha2|Dmα2|SAD|alpha2|α2|alpha[[2]]|α[[2]]|da2|nAChR|nAChR Dalpha2|nAChR Dα2|nAChR-alpha96Ab|nAChR-α96Ab|nAChRa2|nAChRalpha-96A|nAChRα-96A|nAChRalpha2|nAcRalpha-96Ab|nAcRalpha-96Ab|nAcRα-96Ab|nAcRs|nAchRalpha-96Ab|nAcr96Ab|sad
FBgn0000041	act	actidione-sensitive	
FBgn0000042	Act5C	Actin 5C	A|A4V404_DROME|ACT|ACT1_DROME|ACT5C|Ac5C|Act|Act-5C|Act5|Act5c|Actin|Actin/BAP47|Actin5C|ArpA|BAP47|Bap47|CG4027|F-ACTIN|F-Actin|F-actin|G-actin|M32055|T11|act|act 5C|act5C|actin|actin5C|actomyosin|anon-EST:fe2D2|beta-Actin|β-Actin|beta-actin|β-actin|beta-actin/Bap47|β-actin/Bap47|chrX:5748184..5748304|cyt5C|f-actin|l(1)G0009|l(1)G0010|l(1)G0025|l(1)G0079|l(1)G0117|l(1)G0177|l(1)G0245|l(1)G0330|l(1)G0420|l(1)G0486
FBgn0000043	Act42A	Actin 42A	42A|A|ACT2|ACT2_DROME|AFFX-Dros-ACTIN_M_r_at|Act|Act42|Act42a|Actin|Actin/BAP47|ArpB|BAP47|C|CG12051|act 42A|act42A|actin|actin-42A
FBgn0000044	Act57B	Actin 57B	ACT3|Act57|Act57A|Act57b|Actin|Actin 57B|ArpE|BEST:RE38067|C|CG10067|CG30294|M|T10|act 57A|act57A|act57B|act57b|actin|actin-57B|anon-EST:CL2c12|chr2R:16452771..16452966
FBgn0000045	Act79B	Actin 79B	143060_f_at|ACT4|Actin|ArpF|CG7478|D|act 79B|act79B|actin|mus79B
FBgn0000046	Act87E	Actin 87E	ACT5|Act87e|Actin|Actin87E|ArpC|CG18290|E|act 87E|act87E|actin|actin-87E|mus87E
FBgn0000047	Act88F	Actin 88F	ACT88F|Act(88F)|Act88-F|Act88f|Actin|Actin88F|ArpD|CG5178|E|Ifm(3)7|P83967|act 88F|act88F|actin|rsd
FBgn0000048	ad	arcoid	
FBgn0000049	l(1)adl1	lethal (1) adl1	addA|adl-1|l(1)7Dn|l(1)J1649|l(1)adl-1
FBgn0000051	ade1	adenosine 1	ade1-1|ade1-1[sd]|ade1-1[sd]
FBgn0000052	Pfas	Phosphoribosylformylglycinamidine synthase	153122_at|Ade2|CG9127|Paics|ade2|pym
FBgn0000053	Gart	GART trifunctional enzyme	143062_at|ADE8|Ade3|CG31628|CG8761|D|GART|Gart|Gart/ade3|ade3|gart|l(2)27Da
FBgn0000055	Adh	Alcohol dehydrogenase	ADH|Adh3|BG:DS01486.8|CG32954|CG3481|DM-ADH|DmADH|Dreg-1|Reg-1|T16|adh|dADH
FBgn0000056	Adhr	Adh-related	3'ORF|ADHR|ADH[r]|ADH[r]|Adh-dup|Adh[r]|Adh[r]|BG:DS01486.9|CG32954|CG3484
FBgn0000057	adp	adipose	Adp|CG5124|anon-WO0196371.1|anon-WO0196371.27|anon-WO0196371.3
FBgn0000059	ag	agametic	
FBgn0000061	al	aristaless	A1|AL|Al|CG3935|L13-4|lambda13-4
FBgn0000062	alb	alberich	
FBgn0000063	Mps1	Monopolar spindle 1	Ald|Ald/Mps1|CG7643|Mps1|Msp1|TKK|ald|dMps1|mps1
FBgn0000064	Ald1	Aldolase 1	ALD|ALDOA|Ald|Aldolase|BcDNA:LP07735|CG6058|FBA|T12|T4|T6|T7|ald|dALDOA
FBgn0000065	Aldox89A	Aldehyde oxidase at 89A	AO|AOX|Aldox|Aldox-1|Ao|Ao-1|Aox|aldox|lao
FBgn0000066	Aldox54AF	Aldehyde oxidase at 54A-F	Aldox-2
FBgn0000067	ale	almond eye	
FBgn0000068	alo	alopecia	
FBgn0000069	Ablp	Abnormal leg pattern	Alp
FBgn0000070	Alu	Alula	
FBgn0000071	Ama	Amalgam	AMA|BG:DS00276.6|CG2198|CT7244|M109|ama
FBgn0000072	Ama-1	α Amanitin-resistant 1	
FBgn0000073	Ama-2	α Amanitin-resistant 2	
FBgn0000074	amb	amber	
FBgn0000075	amd	α methyl dopa-resistant	AMD-r|CG10501|CG17345|X04695|fAMD|l(2)37Bk|l(2)amd|l(2)amd alpha-methyldopa hypersensitive|l(2)amd[H]|l(2)amd[H]
FBgn0000077	amx	almondex	BcDNA:GH02974|CG12127|fs(1)amx
FBgn0000078	Amy-d	Amylase distal	AMY|Amy|Amy d|Amy(d)|Amy-distal|Amy1|Amy3|Amy6|AmyB|AmyD|CG17876|alpha-AMY|α-AMY|alphaAmy|αAmy|amy|amy-d|amyB(3)
FBgn0000079	Amy-p	Amylase proximal	AMY|Amy|Amy(p)|Amy-proximal|Amy1|Amy2|Amy4|Amy5|AmyA|AmyD|Amyn.sp|CG18640|CG18730|alpha-AMY|α-AMY|alpha-Amy|α-Amy|amy|amy-p
FBgn0000080	an	ancon	
FBgn0000083	AnxB9	Annexin B9	ANXB9|Ann|AnnB9|AnnIX|Anx B9|AnxB9|CG5730|annexin
FBgn0000084	AnxB10	Annexin B10	ANXB10|Ann|AnnB10|AnnX|Annx|AnxB10|CG9579|annexin|anxX
FBgn0000085	ano	anomogenitals	ang
FBgn0000092	dyw	daywake	0.9|0.9 gene|0.9kb|CG2650|EG:155E2.1|anon-3B1.2
FBgn0000094	Anp	Andropin	And|CEC|CG1361|Cec|andropin|k-9
FBgn0000096	ants	antennas	Ants
FBgn0000097	aop	anterior open	AOP|Aop|Aop/Yan|CG3166|DROYANET|DROYANETSB|SK2-1|YAN|Yan|aop/yan|fus6|pok|yan|yan/pok
FBgn0000098	aor	abdominal one reduced	
FBgn0000100	RpLP0	Ribosomal protein LP0	AP3|Ap3|Ape|CG7490|L10|LP0|P0|P35|PO|RLA0|RPL P0|RpP0|RpPO|Rplp0|l(3)0154|l(3)01544|p0
FBgn0000101	apb	apterblister	
FBgn0000102	aperA	abnormal proboscis extension reflex A	
FBgn0000103	aperB	abnormal proboscis extension reflex B	
FBgn0000104	aperC	abnormal proboscis extension reflex C	
FBgn0000108	Appl	β amyloid protein precursor-like	APP|APP-like|APPL|Abeta|Aβ|BcDNA:GH04413|CG7727|EG:65F1.5|appl|dAPPL|dAPPl|dAbeta|dAβ
FBgn0000109	Aprt	Adenine phosphoribosyltransferase	APRT|BcDNA:LP07986|CG18315|aprt
FBgn0000110	apx	apexless	
FBgn0000112	ar	abdomen rotatum	
FBgn0000113	arch	arch	
FBgn0000114	bru1	bruno 1	ARET|Aret|BcDNA:GM15173|Bru|Bru1|Bruno|CG31762|CG6319|Dm Bru|NEST:bs01g04|NEST:bs34h11|aret|aret/bruno1|arrest/Bruno|bru|bru-1|bruno|ms(2)01284
FBgn0000115	Arl1	ADP ribosylation factor-like 1	72CDd|ARL1|ARL1_DROME|Arf|Arf72A|Arl1|BcDNA:GM20805|CG 6025|CG6025|P25160|arf72A|arf[72A]|arf[72A]|arl|arl1|dARL1p|dArl1|l(3)72Ae|l(3)72CDd
FBgn0000116	Argk1	Arginine kinase 1	AK|AK-1|AK1|ARK|ArgK|Argk|CG32031|CG4929|CG5173|KARG|argK|argk
FBgn0000117	arm	armadillo	ARM|Arm|Armadillo|CG11579|Dm Arm|EG:86E4.6|beta-Cat|β-Cat|beta-Catenin|β-Catenin|beta-cat|β-cat|beta-cat-arm|β-cat-arm|beta-catenin|β-catenin|betaCatenin|βCatenin|betacat|βcat|bgr;-Cat|l(1)2Bv|l(1)G0192|l(1)G0234|l(1)G0410|l(1)arm|t12687 ALR Dm
FBgn0000119	arr	arrow	Arr|Arw|BEST:CK00539|CG5912|CK00539|CT15575|Dm Arr|Irp6|LRP|LRP/Arr|LRP5/6|LRP6|l(2)k08131
FBgn0000120	Arr1	Arrestin 1	3H10|ARR1|Arr|ArrA|CG5711|DA|DAI|DS-Ag|DmArr1|DmArrestin-1|Dmarrestin|Dro.-Arr.I|PRII|arr1
FBgn0000121	Arr2	Arrestin 2	49|AH|ARR2|Arr|Arr-2|ArrB|ArrB-ml|Beta-Arrestin|Β-Arrestin|CG5962|DAII|DmArrestin-2|Dro.-Arr.II|PRI|arr|arr2
FBgn0000122	Ars	Arylsulfatase	ARS
FBgn0000123	Ars-region1	Autonomous replicating sequence region 1	Ars1|PHa640
FBgn0000124	Ars-region2	Autonomous replicating sequence region 2	Ars2|DmARS-2
FBgn0000125	Ars-region3	Autonomous replicating sequence region 3	Ars3|PHc700
FBgn0000127	Ars-region5	Autonomous replicating sequence region 5	Ars5|BgHS500
FBgn0000128	Ars-region6	Autonomous replicating sequence region 6	Ars6|ars406
FBgn0000129	Ars-region7	Autonomous replicating sequence region 7	Ars7|ars410
FBgn0000130	Ars-region8	Autonomous replicating sequence region 8	Ars8|ars413
FBgn0000131	Ars-region9	Autonomous replicating sequence region 9	Ars9|ars414
FBgn0000132	Ars-region10	Autonomous replicating sequence region 10	Ars10|HHa240
FBgn0000133	Ars-region11	Autonomous replicating sequence region 11	Ars11|DmARS-6
FBgn0000134	Ars-region12	Autonomous replicating sequence region 12	Ars12|Dm665
FBgn0000135	arth	arthritic	l(1)1Ah
FBgn0000136	as	ascute	
FBgn0000137	ase	asense	AS-C T8|AS-C T8ase|AS-T8|ASC|Ase|Asense|CG3258|EG:165H7.2|T1|T1A|T1a|T8|as-T8|ascT8|bHLHc28|sc/T8
FBgn0000139	ash2	absent, small, or homeotic discs 2	1124/11|291.8|703|ASH2|Ash2|Ash2L|CG6677|ash-2|l(3)112411|l(3)S112411|l(3)SG65|mad
FBgn0000140	asp	abnormal spindle	ASP|Asp|CG6875|Dm Asp|anon-96Aa|anon-WO0118547.279
FBgn0000141	ascutex	ascutex	ASX|asx
FBgn0000143	at	arctus oculus	
FBgn0000144	Attenuated	Attenuated	At
FBgn0000146	aub	aubergine	AUB|AUBERGINE|Aub|CG6137|aubergine|ms(2)32D|sti|sting
FBgn0000147	aurA	aurora A	87A7-9/2|AAK|AUR|AURKA|Aur|Aur-A|AurA|Aurora A|CG3068|aur|aur-A|aurA|aurka|ck10|ck[10]|ck[10]|l(3)87Ac|l(3)ck10
FBgn0000148	aw	awry	
FBgn0000149	aw-b	awry b	aw[2]|aw[2]
FBgn0000150	awd	abnormal wing discs	1084/08|AWD|Awd|BcDNA:GM19775|BcDNA:RH27794|CG2210|K-pn|Kpn|NDKB|NDPK|Nm23|Nm23/awd|anon-EST:Liang-2.27|anon-EST:Liang-2.28|anon-WO0172774.80|anon-WO0172774.82|clone 2.27|clone 2.28|e(shi)A|eshiA|l(3)L8700|l(3)j2A4
FBgn0000151	awu	augenwulst	
FBgn0000152	Axs	Abnormal X segregation	CG9703|axs
FBgn0000153	b	black	ADC|B|BG:DS00941.5|Black|CG7811|DGad2|DmGad2|GAD[[2]]|GAD[[2]]|Gad2|anon-34Db|black|cDNA 1
FBgn0000154	B	Bar	BB|Bar|BarH1|bar
FBgn0000157	Dll	Distal-less	2.7|Art|Ba|BcDNA:LP01770|CG3629|DLL|Distal-less|E(Arp)|En(Arp)|dll|l(2)01092|l(2)387
FBgn0000158	bam	bag of marbles	BAM|Bam|Bam-C|BamC|BamF|CG10422|alpha|α|fs(3)neo61|ham
FBgn0000160	bas	bang-sensitive	bas-A
FBgn0000161	bat	bat	ext-b
FBgn0000162	baton	baton	
FBgn0000163	baz	bazooka	BAZ|Baz|Baz/Par-3|Baz/Par3|Bazooka|CG5055|D-Par3|D-par3|PAR-3|PAR3|Par-3|Par3|bazooka|dPar-3|l(1)G0484|par-3|par3
FBgn0000164	bb	bobbed	35S rRNA|ITS1|NO|Xbb|anon-EST:Liang-1.69|anon-EST:Posey92|clone 1.69|flex|l(1)20Fa|rDNA|rRNA|snRNA-a
FBgn0000166	bcd	bicoid	BCD|BG:DS00276.7|Bcd|Bicoid|CG1034|Dm-Bcd|bic|bicoid|mum|prd4
FBgn0000167	bch	branch	
FBgn0000168	bd	balding	Bd|bald
FBgn0000170	bef	β lobes fused	bef[BG17b]|bef[BG17b]
FBgn0000173	ben	bendless	BEN|Ben|Bend|Bendless|CG18319|UBC13|Ubc13|UbcD3|anon-WO03040301.242|bend|nj-262|ubc13
FBgn0000174	ber	berrytail	
FBgn0000175	bf	brief	
FBgn0000176	Bg	Bag	Uw
FBgn0000177	bh	baldhead	
FBgn0000179	bi	bifid	BI|CG3578|Dm-OMB|Dm-omb|OMB|Omb|Qd|T3|TBX2|bifid|dm-omb|l(1)bi|l(1)omb|omb
FBgn0000180	bib	big brain	BIB|BIB_DROME|Bib|CG4722|DmBIB|EP(2)2278|l(2)neo66|l(2)neo91|m-bib
FBgn0000181	bic	bicaudal	107/12|5A|BTF3|BcDNA.GM05329|BcDNA:GM05329|Bic|Btf|CG3644|E(2)Bic|E(Bic)|l(2)49Da|l(2)k10712|l(2)vr22|vr22
FBgn0000182	BicC	Bicaudal C	BG:DS00913.2|BICC|Bic-C|CG4824|Dromel_CG4824_FBtr0080804_bicc_mORF|bicC|br34|l(2)br34
FBgn0000183	BicD	Bicaudal D	BIC-D|BICD|Bic-D|Bic[D]|Bic[D]|CG6605|almond|anon-EST:fe2A11
FBgn0000184	BicF	Bicaudal F	bicF
FBgn0000185	bie	bientot	
FBgn0000187	bis	bistre	
FBgn0000189	bk	buckled	
FBgn0000190	Bkd	Blackoid	
FBgn0000191	bkl	buckledlike	
FBgn0000192	Bkm	BKM sequence element	BKM
FBgn0000193	Bl	Bristle	Sy|Sy[31l]|Sy[31l]|bl
FBgn0000194	bla	bladderwing	
FBgn0000195	blc	blocked	
FBgn0000196	bald	bald	bld
FBgn0000197	Ble	Bar-like eye	
FBgn0000198	blo	bloated	ba|ba[2]|ba[2]|ba[33f26]|ba[33f26]|kit
FBgn0000200	bly	bellyache	
FBgn0000201	bn	band	
FBgn0000202	bo	bordeaux	
FBgn0000203	bod	bowed	
FBgn0000204	bord	bordered	
FBgn0000205	bos	bordosteril	
FBgn0000206	boss	bride of sevenless	BOSS|Bos|Boss|CG8285|F|X55887
FBgn0000207	bot	botch	
FBgn0000208	Bowed-d	Bowed dominant	Bow|Bowed
FBgn0000209	Bpt	Blackpatch	
FBgn0000211	bra	breakage during anaphase	
FBgn0000212	brm	brahma	BRD|BRM|Brahma|Brg|Brm|Brm @ Kto|CG18438|CG5942|E(E2F)3A|brahma|dBRM|dSMARCA4|dSNF2|l(3)72Aa
FBgn0000213	brb	broad abdomen	
FBgn0000214	brc	brachymacrochaetae	BrC|C93|DCE-12|l(1)1Db
FBgn0000215	broadened	broadened	brd
FBgn0000216	Brd	Bearded	Brd-C|CG3096|DmelCG3096|bearded|brd
FBgn0000217	bre	bright eye	
FBgn0000218	brh	brown head	
FBgn0000219	bright	bright	bri
FBgn0000221	brn	brainiac	Brn|CG4934|EG:EG0007.6|brc|fs(1)107|fs(1)A107|l(1)6P6
FBgn0000222	brw	broader wing	
FBgn0000225	Bsb	Blunt short bristle	
FBgn0000226	bsc	bent scutellars	
FBgn0000227	Elba1	Early boundary activity 1	Bsg25A|CG12205|Elba|Elba1|anon-EST:Liang-1.70|bsg25A|clone 1.70
FBgn0000228	Bsg25D	Blastoderm-specific gene 25D	CG14025|Nin|Ninein|brg25D|bsg25D|bsq25D|nin
FBgn0000229	bsk	basket	BSK|Bsk|CG5680|D-JNK|D-junk|DBSK/JNK|DJNK|DJNK/bsk|DmJNK|JAK|JNK|JNK/SAPK|Jnk|Junk|P-JNK|SAPK/JNK|SAPKa|basket|bsk/JNK|dJNK|dJnk|dNJNK|jnk|jnk (bsk)|p-JNK|pJNK
FBgn0000230	bsp	brown spots	
FBgn0000233	btd	buttonhead	BTD|Btd|CG12653|buttonhead
FBgn0000234	btdl	buttonhead like	btd-l
FBgn0000235	btm	breaks at metaphase	bam
FBgn0000236	bu	bulging	
FBgn0000237	bul	bulge	bp
FBgn0000238	buo	burnt orange	
FBgn0000239	bur	burgundy	Bur|CG9242|ES2-2|GMPS|Gmps|P174|anon-WO0118547.193|anon-WO0118547.204|gua2|l(2)10523
FBgn0000240	bv	brevis	bs
FBgn0000241	bw	brown	CG17632|DmBrown|Pm|Su(w[co2])|Su(w[co2])|Su(w[coJ])|Su(w[coJ])|ptm
FBgn0000243	Beadexoid	Beadexoid	Bxd
FBgn0000244	by	blistery	3R-B|BcDNA:RE65113|CG9379|CT26639|tensin
FBgn0000245	c	curved	C
FBgn0000246	c(3)G	crossover suppressor on 3 of Gowen	C(3)G|C3G|CG17604|c(3)g|c3G|cx
FBgn0000247	ca	claret	CG18133|CG18134|CG31037|CG7799|bw-p|bw[G]|bw[G]
FBgn0000248	cab	cabbage	
FBgn0000250	cact	cactus	5848|BG:DS02740.15|CACT|CACTUS|CG5848|Cact|Cactus|Ikappa|Iκ|NFkappabeta1A|NFκβ1A|cac|cactus|dip6|fs(2)ltoRN48|n(2)k17003
FBgn0000251	cad	caudal	38E.19|CAD|CG1759|Cad|Cadf|Caudal|Dm-Cad|S67|anon-WO2004063362.83|caudal|cd
FBgn0000252	cal	coal	
FBgn0000253	Cam	Calmodulin	3909|CAM|CG8472|CaM|Cal|Cal49A|CalA|Cam1|D-CaM|DmCaM|DmCalm|anon-EST:Posey59|cam|dCaM|l(2)03909|l(2)3909|lincRNA.S2634
FBgn0000254	Cbp82F	Calmodulin-binding protein 82F	Cal82F
FBgn0000256	capu	cappuccino	CG15420|CG3399|Capu|capp
FBgn0000257	car	carnation	CG12230|Car|Dm-Vps33|VPS33a|Vps33|Vps33/carnation|Vps33A|Vps33a|Vps33p|carn|l(1)G0447|vps33a
FBgn0000259	CkIIβ	Casein kinase II β subunit	And|CCK2|CG15224|CK II|CK-2|CK-II beta|CK-II β|CK-IIbeta|CK-IIβ|CK2|CK2-beta|CK2-β|CK2beta|CK2beta|CK2β|CKII|CKII beta|CKII-beta1|CKIIb|CKIIbeta|CKIIbeta|CKIIβ|Cask-II-b|Ck-IIbeta|Ck-IIβ|Ck2beta|Ck2β|CkII|CkII-beta|CkII-β|CkIIbeta|CkIIbeta|CkIIβ|CkIIbeta1|CkIIβ1|Ckiibeta|Dm-CK2-beta|Dm-CK2-β|DmCK2beta|DmCK2β|DmCKIIbeta|DmCKIIβ|DmCkIIbeta|DmCkIIβ|Ds cas kin|KC2B_DROME|betaCK2|βCK2|ck2beta|ck2β|dCK2beta|dCK2β|dCKII|dCKII beta|mbu
FBgn0000260	cast	ojos castanos	
FBgn0000261	Cat	Catalase	CAT|CATA|CG6871|CT21282|Cat-A|CatA|DMCATHPO|DROCATHPO|DmCAT|U00145|bs36h11.y1|cat|catalase
FBgn0000262	cau	cauliflower	
FBgn0000263	cb	club	
FBgn0000264	Cubl	Curled blistered	Cb
FBgn0000267	cbf	clubfoot	
FBgn0000270	ccd	central complex deranged	
FBgn0000271	ccw	concave wing	
FBgn0000273	Pka-C1	Protein kinase, cAMP-dependent, catalytic subunit 1	6353|C|CG4379|CdkA|Cos|Cos-1|Cos1|DC0|DCO|Dc0|Dco|Dcpk|PKA|PKA CI|PKA Cl|PKA-C|PKA-C1|PKAC1|PKAc|PKAcA|Pka|Pka-C|PkaC1|cos1|dPKA|dc0|dcO|dco|l(2)01272|l(2)cos[[1]]|l(2)cos[[1]]|l(2)s4402|pKA|pkA|pka|pka C1|pka-C1|pka-c1
FBgn0000274	Pka-C2	Protein kinase, cAMP-dependent, catalytic subunit 2	CG12066|CdkB|DC1|DC1a|PKA|PKA C2|PKA-C2|PKAC2
FBgn0000276	CecA1	Cecropin A1	CEC|CG1365|Cec|Cec A1|Cec-A1|CecA|Cecropin A1|DIM 25|ce-A1|cec|cec A|cecA|cecA1|cecropin|crpA1
FBgn0000277	CecA2	Cecropin A2	CG1367|Cec|Cec A2|CecA|Cecropin A2|ce-A2|cec|cec A|cecA|cecA2|crpA2
FBgn0000278	CecB	Cecropin B	CECB|CG1878|Cec|Cec B|CecropinB|cec|cecB|cedcB|crpB
FBgn0000279	CecC	Cecropin C	BcDNA:RH33561|CECC|CG1373|Cec|Cec C|Cec-C|CecropinC|cec|cecC
FBgn0000280	Cec-Ψ1	Cecropin pseudogene 1	CR32926|CecPsi1|CecΨ1|cec-Psi1|cec-Ψ1
FBgn0000281	Cec2	Cecropin 2	CG32924|CG32934|CR32924|CR32934|Cec|CecPsi2|CecΨ2|cec-Psi2|cec-Ψ2
FBgn0000282	cel	celibate	
FBgn0000283	Cp190	Centrosomal protein 190kD	AbS1-4|Bx-63|Bx63|CEN190|CG6384|CP-190|CP-60|CP190|CP190_DROME|Cen185|Cen190|DMAP 190|DMAP-190|DMAP190|Dmap190|E(mod)4-1|Map190|Rb188|cp190|dmap190
FBgn0000284	cf	cleft	
FBgn0000286	Cf2	Chorion factor 2	BcDNA:GM09668|CF-2|CF2|CF2.5|CG11924|Cf2_II|cf2
FBgn0000287	salr	spalt-related	32F|CG4881|Cf3|Sal|Sal-r|Salr|Spalt|sal|sal-r|salR|spalt
FBgn0000288	cff	control of female fertility	cf
FBgn0000289	cg	combgap	CG|CG8367|Cg|Combgap|l(2)07659|l(2)k11504|mig
FBgn0000299	Col4a1	Collagen type IV alpha 1	CG25C|CG4145|COL4A1|CT12803|Cg25C|Cg25c|Cgc25|Cgc25C|Col IV alpha(1)|Col IV α(1)|Col4A1|Col4alpha1|Col4α1|ColIValpha1|ColIVα1|Coll|Coll IV|DCg1|Dcg|Dcg-1|Dcg1|alpha(IV)1/Cg25C|α(IV)1/Cg25C|alpha1|α1|cg25C|cg25c|col4a1|dcg1|gp125
FBgn0000300	cgd	congested	
FBgn0000301	ch	chubby	Ch
FBgn0000302	cha	chaff	Cha
FBgn0000303	ChAT	Choline acetyltransferase	CG12345|CHAT|CLAT_DROME|CT23399|Cat|ChA|ChAT|ChAT4B1|ChAt|Cha|ChaT|Chat|DChAT|cha|chat|dChAT|l(3)91Cc
FBgn0000304	chal	chalice	
FBgn0000305	ch-b	chilblained b	
FBgn0000306	che	cherub	
FBgn0000307	chif	chiffon	BG:DS09218.1|BG:DS09218.2|CG5813|CG5817|Chif|Chiffon|DS09218.1|Dbf4|chf|fs(2)chiffon
FBgn0000308	chic	chickadee	CG9553|Chi|Chic|ChicE1|D88|GH4|chi|chickadee|l(2)27/7|profilin|sand
FBgn0000309	chl	chaetelle	
FBgn0000312	chaetae	chaetae	cht
FBgn0000316	cin	cinnamon	CG2945|CIN|EG:BACR37P7.3|fs(1)M50|l(1)1Ae|l(1)G0142
FBgn0000317	ck	crinkled	53D10S|BG:DS00929.11|CG7595|CK|D|D2|DM7a|DMyoVIIa|Dm 35B|DmVIIA|DmVIIa|Dro35B|ESTS:53D10S|Mhc35BC|Myo7A|Myo7B|MyoVIIA|anon-35Bb|br27|ck/MyoVIIA|l(1)35Ca|l(2)07130|l(2)35Ca|l(2)br27|l35Ca|myoVIIA|myoVIIa|myosin-7a|stc|stch
FBgn0000318	cl	clot	BcDNA:RE06767|CG11024
